Stats
Word,Appearances,Pronunciation,Meaning
的,45,di4, /aim/clear/
金融,13,jin1 rong2, /banking/finance/financial/
监管,12,jian1 guan3, /to oversee/to take charge of/to supervise/to administer/supervisory/supervision/
了,12,liao4, /unofficial variant of 瞭liao4]/
有,11,you3, /to have/there is/there are/to exist/to be/
在,11,zai4, /(located) at/(to be) in/to exist/in the middle of doing sth/(indicating an action in progress)/
银行,11,yin2 hang2, /bank/CL:家jia1] 個 个ge4]/
风险,9,feng1 xian3, /risk/hazard/
也,9,ye3, /also/too/(in Classical Chinese) final particle implying affirmation/
产品,9,chan3 pin3, /goods/merchandise/product/CL:個 个ge4]/
业务,9,ye4 wu4, /business/professional work/service/CL:項 项xiang4]/
者,8,zhe3, /(after a verb or adjective) one who (is) .../(after a noun) person involved in .../-er/-ist/(used after a number or 後 后hou4] or 前qian2] to refer to sth mentioned previously)/(used after a term  to mark a pause before defining the term)/(old) (used at the end of a command)/(old) this/
收费,8,shou1 fei4, /to charge a fee/
贷,8,dai4, /to lend on interest/to borrow/a loan/leniency/to make excuses/to pardon/to forgive/
会,8,kuai4, /to balance an account/accountancy/accounting/
理财,8,li3 cai2, /financial management/finance/
监,7,jian4, /supervisor/
银,7,yin2, /silver/silver-colored/relating to money or currency/
贷款,7,dai4 kuan3, /a loan/CL:筆 笔bi3]/to provide a loan (e.g. bank)/to raise a loan (from e.g. a bank)/
但,7,dan4, /but/yet/however/only/merely/still/
等,7,deng3, /class/rank/grade/equal to/same as/to wait for/to await/et cetera/and so on/et al. (and other authors)/after/as soon as/once/
地,7,di4, /earth/ground/field/place/land/CL:片pian4]/
部门,6,bu4 men2, /department/branch/section/division/CL:個 个ge4]/
多,6,duo1, /many/much/often/a lot of/numerous/more/in excess/how (to what extent)/multi-/Taiwan pr. duo2] when it means "how"/
资金,6,zi1 jin1, /funds/funding/capital/
和,6,he2, /old variant of 和he2]/harmonious/
个,6,ge4, /variant of 個 个ge4]/
校园,6,xiao4 yuan2, /campus/
城市,5,cheng2 shi4, /city/town/CL:座zuo4]/
更,5,geng4, /more/even more/further/still/still more/
一,5,yi1, /one/1/single/a (article)/as soon as/entire/whole/all/throughout/"one" radical in Chinese characters (Kangxi radical 1)/also pr. yao1] for greater clarity when spelling out numbers digit by digit/
转,5,zhuan4, /to revolve/to turn/to circle about/to walk about/classifier for revolutions (per minute etc): revs  rpm/classifier for repeated actions/
服务,5,fu2 wu4, /to serve/service/CL:項 项xiang4]/
政策,5,zheng4 ce4, /policy/CL:個 个ge4]/
不,5,bu4, /(negative prefix)/not/no/
文件,5,wen2 jian4, /document/file/CL:份fen4]/
对,5,dui4, /right/correct/couple/pair/towards/at/for/to face/opposite/to treat (sb a certain way)/to match together/to adjust/to fit/to suit/to answer/to reply/classifier: couple/
套利,5,tao4 li4, /arbitrage/
发,5,fa4, /hair/Taiwan pr. fa3]/
钱,5,qian2, /coin/money/CL:筆 笔bi3]/unit of weight  one tenth of a tael 兩 两liang3]/
是否,5,shi4 fou3, /whether (or not)/if/is or isn't/
房贷,5,fang2 dai4, /home loan/
金融机构,4,jin1 rong2 ji1 gou4, /financial institution/banking institution/
成本,4,cheng2 ben3, /(manufacturing  production etc) costs/
住房,4,zhu4 fang2, /housing/
企业,4,qi3 ye4, /company/firm/enterprise/corporation/CL:家jia1]/
治理,4,zhi4 li3, /to govern/to administer/to manage/to control/governance/
一些,4,yi1 xie1, /some/a few/a little/(following an adjective) slightly ...er/
又,4,you4, /(once) again/also/both... and.../and yet/(used for emphasis) anyway/
是,4,shi4, /variant of 是shi4]/(used in given names)/
个人,4,ge4 ren2, /individual/personal/oneself/
调控,4,tiao2 kong4, /to regulate/to control/
到,4,dao4, /to (a place)/until (a time)/up to/to go/to arrive/(verb complement denoting completion or result of an action)/
房,4,fang2, /house/room/CL:間 间jian1]/branch of an extended family/classifier for family members (or concubines)/
薪酬,4,xin1 chou2, /pay/remuneration/salary/reward/
个体户,4,ge4 ti3 hu4, /self-employed/a private firm (PRC usage)/
融资,4,rong2 zi1, /financing/
把,4,ba4, /handle/
互联网,4,Hu4 lian2 wang3, /Internet/
整治,4,zheng3 zhi4, /to bring under control/to regulate/to restore to good condition/(coll.) to fix (a person)/to prepare (a meal etc)/
学生,4,xue2 sheng5, /student/schoolchild/
要,4,yao4, /important/vital/to want/to ask for/will/going to (as future auxiliary)/may/must/(used in a comparison) must be/probably/if/
以,3,yi3, /to use/by means of/according to/in order to/because of/at (a certain date or place)/
中,3,zhong4, /to hit (the mark)/to be hit by/to suffer/to win (a prize  a lottery)/
为,3,wei4, /variant of 為 为wei4]  because of/for/to/
自己,3,zi4 ji3, /oneself/one's own/
商业银行,3,shang1 ye4 yin2 hang2, /commercial bank/
这,3,zhe4, /this/these/(commonly pr. zhei4] before a classifier  esp. in Beijing)/
下,3,xia4, /down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision  conclusion etc)/measure word to show the frequency of an action/
房地产,3,fang2 di4 chan3, /real estate/
经济,3,jing1 ji4, /economy/economic/
支付,3,zhi1 fu4, /to pay (money)/
需要,3,xu1 yao4, /to need/to want/to demand/to require/requirement/need/
从,3,zong4, /second cousin/
有的,3,you3 de5, /(there are) some (who are...)/some (exist)/
信托,3,xin4 tuo1, /to entrust/trust bond (finance)/
就,3,jiu4, /at once/right away/only/just (emphasis)/as early as/already/as soon as/then/in that case/as many as/even if/to approach/to move towards/to undertake/to engage in/to suffer/subjected to/to accomplish/to take advantage of/to go with (of foods)/with regard to/concerning/
向,3,xiang4, /variant of 向xiang4]/direction/orientation/to face/to turn toward/to/towards/shortly before/formerly/
购,3,gou4, /to buy/to purchase/
因,3,yin1, /cause/reason/because/
后,3,hou4, /back/behind/rear/afterwards/after/later/
高,3,gao1, /high/tall/above average/loud/your (honorific)/
逐渐,3,zhu2 jian4, /gradually/
三,3,san1, /three/3/
机构,3,ji1 gou4, /mechanism/structure/organization/agency/institution/CL:所suo3]/
重要,3,zhong4 yao4, /important/significant/major/
清理,3,qing1 li3, /to clear up/to tidy up/to dispose of/
却,3,que4, /but/yet/however/while/to go back/to decline/to retreat/nevertheless/even though/
难,3,nan4, /disaster/distress/to scold/
校,3,xiao4, /school/military officer/CL:所suo3]/
网,3,wang3, /net/network/
说,3,shuo1, /to speak/to say/to explain/to scold/to tell off/a theory (typically the last character in a compound  as in 日心說 日心说 heliocentric theory)/
存在,3,cun2 zai4, /to exist/to be/existence/
被,3,bei4, /quilt/by/(indicates passive-voice clauses)/(literary) to cover/to meet with/
因此,3,yin1 ci3, /thus/consequently/as a result/
不当,3,bu4 dang4, /unsuitable/improper/inappropriate/
投资者,3,tou2 zi1 zhe3, /investor/
将,3,qiang1, /to desire/to invite/to request/
